NAME	Ex1	Ex2	Ex3	Ex4	Ex5	Ex6	Ex7	Ex8	In1	In2	In3	In4	In5	In6	In7	In8
CDH11	81.44251678761887	1.9593839341534145	6.220990901213206	7.203157630187674	47.05630079024945	183.9738282446205	117.96201157698624	20.900793250181938	8.063300052910996	30.857665622738956	4.278635894747301	9.35894592204084	3.3544085009565228	26.394533967616947	3.451515801616477	6.915463690155809
CDH22	254.20770244640164	79.74435160234296	36.21716982333546	16.27019287787057	23.889618207321927	7.092945464784615	76.91690389529393	53.69445621959506	3.878018182492989	2.6896951882786917	2.2363841920780807	3.3423336697138697	19.01544911361958	2.4374957630972824	1.8658789611145026	4.752706898155745
CDH7	4.9890456178801275	2.2479275850148106	10.543062366720818	26.846989170866102	28.302133619218033	12.60752444913592	4.143260497359244	3.5463957879591104	14.457849882196388	14.446362625668076	6.753740166484503	6.096163705688712	4.673648804228519	197.1774041749835	101.51606921842136	62.58472139831141
CDH9	259.0118518598983	24.705545472048613	9.26761625756355	8.571774531829686	4.567040049543361	66.25653426955563	182.03989300605826	3.889693449762626	128.9793937498425	487.73481400766934	3.7176993150047695	12.05516854790853	25.26668241882986	59.103568027460454	539.2264308773238	377.989500224222
CDHR3	2.4876528847106947	70.32756870430936	5.737424854556453	21.743756915628744	40.19486359509543	14.204163311083	4.8948779643625375	1.7114530959725016	16.999494655142854	69.76950871696795	2.501479938226028	78.6070476999841	352.39601485488447	3.4805409785426202	2.591794238628223	2.4237132693938914
CDK18	1.000229361590913	2.7733081938319586	1.0001146807954564	4.650120438723945	8.643007098652147	1.0	1.0005691750075927	39.55912089061691	1.003125147272541	1.0400835364781127	1.000848994023352	1.0160938187916255	1.0005691750075927	1.000848994023352	1.0003440686897394	1.000229361590913
CHD7	3.8375252614160935	3.2104409233043203	7.621135045641719	4.276919731296083	3.792577878048208	3.6454532445214523	3.1529759385816862	3.40587217278611	8.465104048674602	6.296612260453614	91.11943324004534	5.304156511021633	4.592734590258992	4.089247085635593	6.513364392436658	6.916166279508685
CHGA	15.693816428377012	23.21837733317274	119.29906733284832	41.213343077840065	40.637091598694994	6.579577085382569	3.960597838250165	1.834498297839908	3.2337004272732446	15.157986315925776	6.211623146482113	8.691419391423889	8.195167213238536	31.83534836024034	3.29295553096147	9.866826130199534
CHN1	1889.4699759182201	1073.6286538641782	1903.6320141837066	1087.2449112103654	1281.2968344542091	797.9491352376115	877.8998536051865	530.8516771573314	32.0124101566664	10.266864552427167	24.023557903876103	31.20937319002686	18.066235983133822	265.8585395480735	341.609519864395	305.00329089035927
CHRDL1	2.150231420868316	2.6572312769124555	2.662913267383246	1.4268701608476726	1.5543548443999367	1.600794902632933	1.3623751468638847	1.5882879333630129	2.2242969563331325	1.5561308883030427	1.8719701729054226	15.160092582570424	80.2327344722627	1.5361164989220168	2.19898505887422	1.9266445353349804
CHRNA2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	251.44792436903685	96.94698429928056	1.0	1.0	1.0	1.0	1.0
CHRNA7	2.550675545093161	2.176482732067195	3.1498440957734424	2.4062328299928737	1.960451224292179	4.30349091933248	2.592327335658812	2.7569324644117486	61.029868202645055	99.22443697185616	5.68222101457445	3.5262975796348197	2.843099786473146	2.0336766611666257	2.9426258454900296	2.745126139075986
CHST11	6.271793928967862	6.170834162930921	14.27190703594132	13.470127333219164	4.813195597622665	12.909063666856625	15.972465698416709	94.47901656788444	284.2038732353874	24.343044543514043	175.40566299449165	317.204210112444	260.5362405652254	10.125281001593283	13.299786872969662	15.903980879925072
CHST8	2.160675521725457	2.5090218939036886	1.6864656419585304	1.9125148760272048	8.162101298941536	1.9817722980751604	12.69131708617251	1.8803370530809675	1.9729112933766757	2.1962347076441597	2.469476284326843	1.7696370065437468	1.9453254645030857	1.938002507674679	2.2288138580369043	2.1193760111417834
CLMN	1.462450501985254	76.31376903973754	3.978986943990792	1.6577897210715222	1.8554561337564917	2.9920683382347075	1.756355460932077	1.8250749485820605	2.1437154576104733	1.787546546181205	2.2219385031083627	1.610643647888435	1.9739229611199112	20.201398352948495	1.72444832403234	2.7191627807151955
CLSTN2	99.05222472291909	406.7718260274207	203.45617656187642	377.72992421068585	1142.7883735286114	1338.5308385071849	983.3608961315651	1809.7140712634525	62.63586188847356	316.53259862817265	42.028585557925	286.1965961350045	76.55752360578066	52.27113042509356	72.34924884457081	61.04496885245305
CMAHP	2.147856296857679	11.951719218088712	3.1304086867360863	23.705966530414614	2.945376846228373	2.3048359050399356	2.775117441564017	2.2410622474476085	2.2888581401969263	1.6776885995671897	1.8748443882642767	2.125558672451967	1.7352710812400474	1.8304512530301995	2.5252184830866398	2.5137842130179866
CMTM8	2.299048252402665	1.7345822908536908	2.574625847764544	2.037149448025703	3.427091818445657	2.345926875956353	2.503405205256155	1.8519377932224015	2.892505486726802	3.7104919369893192	2.631732717484673	4.225959177647088	8.720834579408798	3.6891183423687006	118.6519793560465	44.714454985048874
CNGB1	1.89841257230775	10.265517007711622	1.8472730940507256	1.5188700549664635	1.7559397065274762	1.5008087650786108	1.8830958763484575	1.5686412902094042	1.9014052686591327	1.4462949706783663	1.7821977578955015	1.5770387270132151	1.36956042510706	1.4186233111234001	2.2116540087030288	1.65525758913195
CNNM4	9.460099891730604	4.93984294986949	8.268686926360814	14.218713466268369	20.11315399456174	8.945050678345273	19.500564556881535	179.9778586440666	6.2590933828962525	7.3592095300125	7.84597702878212	5.74245745179819	6.6225022355352445	4.312398448916381	8.103174936504415	9.118180092571134
CNR1	15.997028990106486	1.2402625393976527	1.3710658712014365	16.60378285144997	1.8429551218963092	5.194407862294819	42.44711118383381	1.170336231139478	701.5625763274222	840.1936145046536	79.4860622676151	87.63487242162245	1.7772381564822544	1.4652665832879799	1.6144528915820358	7.8947380450391815
CNTN3	226.7000020850844	466.05037908494955	118.84090929341427	43.43209442227662	279.1275509776866	15.228501017626382	180.49901743217458	21.207009655847994	52.55591813723147	297.22593390502936	213.5656208388807	3.917637314316027	2.8251595470031265	12.549205893444906	8.606408953657208	46.80385261959776
CNTN6	3.1019428014287427	1.8985869351802804	2.7661693742725846	2.837214635967114	2.80421808329152	2.451776694087508	17.268015124884066	31.84801507246832	7.505660816364793	6.050391376837817	172.19029578524612	2.151689213763472	10.090887688138125	16.99215331604339	70.34884477284348	4.8327938089107985
CNTNAP3	1.3217735285959145	3.5737970761074807	1.0774023444985672	1.0	1.6172987151769904	12.210812954827901	3.741352661270766	3.1712442401678467	1.5762532392758835	3.5177173225698546	1.120954941185707	1.2280060088839053	1.13707630504106	46.10919727932908	4.04318658297584	2.4903484993115583
CNTNAP4	4.433721339157529	3.231713311447411	6.699792635067421	108.4897703925007	47.291334056375035	111.96620458539147	7.181266754753677	42.42408619128391	389.64285502768604	800.2918480097404	112.31172305011047	446.9813386659805	312.4432077814212	4.105554611628744	19.25798631692981	19.89947380384141
COBLL1	1.7126227979904036	158.32056593252258	17.582364417504706	130.72159485518193	3.253640469378803	1.6786744028864784	1.3961838014728807	1.459691860700493	2.8449269075731385	63.96101597092829	2.0771898027048126	1.738886953150792	1.565607177884944	3.237980180698229	2.0051796783403777	2.796426937851803
COL11A1	2.4607726994054326	108.79039701177447	4.82815738340939	9.313281264164786	98.26703705159397	43.79105973457301	2.624935687554483	2.4183519706525805	5.47130882081362	193.468969119684	38.28363892613629	2.7618740856452932	2.35797405959549	2.5221278551517345	2.9764870877414813	3.462680186639015
COL19A1	4.956486731454245	18.23351389656422	12.267527422483576	8.211153153970551	6.961723119121137	5.668770977538699	63.38634712981461	30.051023331439268	5.55646725797312	3.0372497414566286	4.540396094455472	3.4703845954410895	3.1061004907384406	4.869092001017227	337.48299237278235	52.823943260071815
COL21A1	3.7750998421741673	4.127980160276232	8.435716822924283	3.5282577494734246	4.297126928700759	4.695249170983761	3.3182612973256513	3.0752963650296024	52.097547746150795	33.24573176754479	156.8313197979031	5.478343716208725	3.210020333600002	4.310823866749782	6.257955174010956	7.496023460920812
COL24A1	39.15230715061682	4.948825065207416	9.317711846427567	4.85622796707344	9.028015244355261	154.5423499352085	63.678021033705235	7.380740231973259	10.552820523053366	4.8821379093002495	6.285884827269738	6.4141630136418915	4.200777339916305	4.138240523099199	18.76157346540865	7.5936281832964045
COL25A1	12.149802212409817	8.06421332629937	14.25679146875512	9.435293136766614	11.886902888225766	15.578851489815932	10.001508727475727	11.020773485714761	35.35459302812551	14.509453092305264	13.449920796908215	79.62351227803447	157.81241100829914	9.419621842879964	469.8705161625801	174.60902117438565
COL4A1	2.3058067137146185	2.689142522007603	1.546941727237051	2.1416091055217015	2.188115981627379	2.0013341648890424	1.2372383140310097	1.4630135335668881	2.668248921217543	1.9229164120578734	1.7810415407033875	5.9940002994409864	89.91131861336005	5.700272396933755	3.20729535544229	4.523806575265505
COL4A2	3.9441874077003876	16.343517839403397	3.1801304174275273	2.0332714236719496	2.5324686820651623	1.7036809244203805	1.608094334571164	1.6599611717948934	1.6966041650727237	1.3412580615444716	1.6147123983090004	19.397359096423358	213.28159913998678	27.90741112137958	16.919233053687865	5.525704132304069
COL5A2	1.7199955203593875	412.7129553165104	4.801378289230321	16.434946644591395	1.9872914813056985	2.534130178118855	1.8936147459501278	1.625379516444989	3.6742014642608964	2.160866405013441	1.7204711472606484	3.5633357370496315	1.8231716044700426	2.345184404931894	2.2796061906946843	2.9480185400292944
