NAME	Fetal-Microglia	Fetal-IPC	Fetal-Pericytes	Fetal-OPC	Fetal-Endothelial	Fetal-Astrocytes	Fetal-Oligo	Fetal-Trans	Fetal-NEP	Astrocytes	Endothelial	Fetal-quiescent	Fetal-replicating	Microglia	Neurons	OPC	Oligodendrocytes
NREP	2076.707927201291	1430.601026516899	1096.4185301821922	1942.8196402300732	1195.8752278072425	2138.8200851447673	1412.2755432753713	494.70367500682687	653.0949945176413	1.0025194552168597	1.002470490882797	713.2439812547998	133.65646676558927	1.0025568191000884	11.266598205698603	1.0024768823401229	1.0024406957214949
NRIP3	1.0024511100233713	1.0023549555517381	1.002425113985867	1.0024320965852873	1.0024576625146913	1.0023343322088514	1.0021733849493053	1.0025687007504707	1.002585266932092	1.0024441569392337	1.0025739749966551	1.002543475479679	1.0025316266534432	1.0026341298218093	301.59356325116136	1.002536399744786	1.0025315065090445
NSF	5.352214842413405	1.7634759796739734	1.0027357216581911	1.668250230778441	1.2513586861474093	1.07015164317444	1.1641542017192932	1.0047896467100057	1.003683841116809	1.0028479748926418	1.0028240179112216	1.0030240674500335	1.0027957061968975	1.0041227061572329	392.3407330542394	1.003055521029334	4.8479661002306536
NTM	80.96244101067552	1.7213655866403124	21.137205873012405	217.0827052053777	71.95647906917681	86.70471569356135	1.2761695529391424	1.0047852022968602	1.0043453498250585	533.062415684484	1.0031592647683143	40.246073178139106	1.0033315599369217	1.0042470545235238	11.31576627767371	84.51067604609005	13.774220567732197
NTRK2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	738.9369828323435	12.275064048348199	1.0	1.0	1.0	18.573956724638577	194.69841117447004	6.877575013467944
NTRK3	14.215390107444774	6.344863011956827	1.0	3.864045735565362	13.135894685990179	4.1656875917944856	209.1898926482305	1.0	1.0	6.728002946987078	3.4636086015444962	1.0	1.0	1.0	3.7995486685665845	2.862907656140058	1.0
NUDT4	24.566202746554648	5.458829088724118	3.9180858178422517	12.539141515112465	44.208184049832425	16.757825960741407	18.790845123783065	3.813189949329845	8.706317782934045	1.0784950615805338	1.278472605033788	1.2334392250360215	1.205621150559978	1.4511086042275156	1.0331614713147308	1.1218198492780034	1.1070111770187236
NUMB	9.899722107283596	4.642517642527911	24.363956529233622	5.615821525696409	25.1209410705405	4.411028831430734	4.526185872008558	1.0041767072946612	1.002838113471984	8.317734901080158	1.003110672056764	1.002831938272102	1.003995975357289	4.017121549774425	1.4163602030772042	3.2051115692015015	1.0027430583847954
NUP153	2.35094690689748	2.6440108708869405	2.7781390591487316	1.6175991025624952	2.062342611525392	1.9289035000416814	2.18711939434258	4.262701258225029	5.536006004190583	2.8841453243962003	5.5882028359484135	6.159701355044083	197.61999395375435	7.90570861894977	3.285981029827265	209.12373148181564	3.2137823076493945
NUSAP1	1.0027920170539273	348.7742415037833	1.0027874715038803	1.0027122899084027	1.0027148168179545	18.576086191235568	48.67518587314187	193.02653221116077	185.72576806614097	1.0028186341857799	1.0027660437278025	1.0027711852640357	446.97744334599605	1.002847228299154	1.0025884275649588	1.0027240121425125	1.0027032123848652
NVL	2.505474735330094	6.433082725205672	5.35800164598421	13.741557706130946	54.47732492057209	7.136210641425229	18.85993150159908	1.0045366620380778	1.0035916982872186	1.4418042249979024	1.002804367201469	1.0028391706796351	1.0028394094270745	1.003884877884622	1.4607784136391657	1.0027825728331012	1.0027970867197409
OAT	74.155494456849	1.0678239257865232	1.0020340102376788	44.622955031930985	56.441001017088595	7.361794856759851	7.347629046904268	1.0020803409403884	1.0020246243178947	604.3980469547457	122.6851102727209	1.0020180972283508	1.002075660835376	1.0020358417687258	903.2899006216329	29.088609343136465	174.02428862590418
OCIAD2	9.59833794300123	5.866817984098951	1.0027767289353313	8.564846894192353	1.0039605455218592	107.46510122556126	74.09370672570604	1.0049806181614456	1.004380633189456	1.002718189873479	1.0038851170823673	95.58194353736201	1.0039018257647307	1.0045698347956311	1.0027428612858347	1.0028285114928381	1.0027930411444368
ODF2L	7.083326161199038	2.4720573179340097	1.0	42.45797980439961	22.444098004193904	32.327355510258414	4.59556821189632	4.121050257805271	1.0	1.0	1.0	8.933631006899589	1.0	1.0	5.750318699137145	1.0	1.0
OLIG1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	193.84361912591305	106.6816424777135
OLR1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3972.642854658147	1.0	1.0	1.0
OPALIN	1.0015762136890902	1.0	1.0017140209917315	1.0016170364510915	1.0	1.0	1.0	1.0018440334789966	1.0020475463622627	1.0017711398573892	1.0020446331766422	1.0019974815890074	1.0019798988607425	1.002107902980918	1.0	1.0020229463335346	2924.6576225598255
OXR1	7.3545877189136935	3.8734418161831172	9.690886442650774	5.233830115736905	3.6360677763400493	4.943111925978911	58.80415148090721	1.0023214384980794	1.0022440534284318	12.570104022704832	1.0022644038924584	1.0021839758618787	1.0022808945719666	80.18006110818425	540.2950472784414	43.84603129381965	37.81208551248507
P2RX7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.384512944114025	1.0	223.98475185467117	133.44466344278123
PABPC3	1.4895938588523716	1.0083594403827845	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	26.698440138434492	13.36291961864583	38.338207418146	145.96865167483116	1.0	13.307580034097308	1.0
PABPN1	12.181236630677406	11.62031952033942	14.07718626339441	14.635132149048623	20.8212755385515	8.544158096718435	9.248066427514374	11.286745266739715	50.31581884792038	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
PAFAH1B3	2.052216732942624	71.38402771616781	1.157952248488688	91.43641457862263	10.24097097890623	151.89449971363615	15.776283191723612	2.0074232927153797	1.4864683561201015	1.079610219742979	1.2682089850606442	329.28623869485807	1.3452384262824928	1.4870586743597651	3.2277250051516035	1.1338695480136	1.1251486447585397
PAK7	1.1734921592672773	1.413316011121704	1.0028183628772553	3.5913558936617647	3.644427769220927	3.3173413829579985	1.495234689664768	1.0095034792923647	1.0124935963436577	1.0028136756776764	1.0056764381227254	24.60029860711956	1.0049271844611407	1.0130540737164435	1.0090363157456912	1.0045469142500363	1.0039765325205687
PAN3	21.765505662636812	19.225371238607817	42.9085318351342	34.01403043681612	20.12021244495768	18.44281631475748	26.84636973090078	22.59998942319727	11.280689111634999	25.574967642722726	8.203521995241376	107.45411795695208	44.208184049832425	43.609647539316605	94.38521285687533	641.8177433904676	96.6108585958587
PAPOLA	110.53312658894393	290.7523697777714	239.8872194225654	182.46118382730293	157.1594166529579	452.5497471204409	875.1751109949597	101.9534797189805	94.5844565235064	25.63859467116889	5.915057819590746	81.64210730339505	43.722363907842066	7.876187404898628	42.9085318351342	144.47264922375794	21.795551355422084
